Authors,Author full names,Author(s) ID,Title,Year,Cited by,DOI,Link,stage1_status,stage1_matched_kws,stage2_status,stage2_matched_kws,final_status
Atalay S.; Sheikh M.; Mariani A.; Merla Y.; Bower E.; Widanage W.D.,"Atalay, Selcuk (59750461400); Sheikh, Muhammad (57190752088); Mariani, Alessandro (57188872202); Merla, Yu (56225597000); Bower, Ed (57219376854); Widanage, W. Dhammika (16317933200)",59750461400; 57190752088; 57188872202; 56225597000; 57219376854; 16317933200,"Theory of battery ageing in a lithium-ion battery: Capacity fade, nonlinear ageing and lifetime prediction",2020,275,10.1016/j.jpowsour.2020.229026,https://www.scopus.com/pages/publications/85092444383?origin=resultslist,passed_stage1,"capacity, charge, discharge, current",passed_stage2,voltage,relevant
Yang R.; Xiong R.; Shen W.; Lin X.,"Yang, Ruixin (57193110659); Xiong, Rui (57201315780); Shen, Weixiang (57203905864); Lin, Xinfan (57198575411)",57193110659; 57201315780; 57203905864; 57198575411,Extreme Learning Machine-Based Thermal Model for Lithium-Ion Batteries of Electric Vehicles under External Short Circuit,2021,142,10.1016/j.eng.2020.08.015,https://www.scopus.com/pages/publications/85102642104?origin=resultslist,passed_stage1,current,passed_stage2,current,relevant
Van C.N.; Quang D.T.,"Van, Chi Nguyen (57211921092); Quang, Duy Ta (58309903900)",57211921092; 58309903900,Estimation of SoH and internal resistances of Lithium ion battery based on LSTM network,2023,98,10.1016/J.IJOES.2023.100166,https://www.scopus.com/pages/publications/85161517152?origin=resultslist,passed_stage1,"charge, capacity, discharge, impedance, plot, current, voltage",passed_stage2,"charge, capacity, discharge, current, voltage",relevant
Carnovale A.; Li X.,"Carnovale, Andrew (57224543434); Li, Xianguo (7501700748)",57224543434; 7501700748,A modeling and experimental study of capacity fade for lithium-ion batteries,2020,96,10.1016/j.egyai.2020.100032,https://www.scopus.com/pages/publications/85105161808?origin=resultslist,passed_stage1,"charge, capacity, discharge, current, voltage",passed_stage2,"charge, capacity, discharge, current, voltage",relevant
Kucinskis G.; Bozorgchenani M.; Feinauer M.; Kasper M.; Wohlfahrt-Mehrens M.; Waldmann T.,"Kucinskis, Gints (37119057300); Bozorgchenani, Maral (56177167600); Feinauer, Max (57211187429); Kasper, Michael (24329793600); Wohlfahrt-Mehrens, Margret (55903285200); Waldmann, Thomas (56397730100)",37119057300; 56177167600; 57211187429; 24329793600; 55903285200; 56397730100,"Arrhenius plots for Li-ion battery ageing as a function of temperature, C-rate, and ageing state – An experimental study",2022,115,10.1016/j.jpowsour.2022.232129,https://www.scopus.com/pages/publications/85138778881?origin=resultslist,passed_stage1,"capacity, charge, discharge, curve",passed_stage2,charge,relevant
Zhang C.; Allafi W.; Dinh Q.; Ascencio P.; Marco J.,"Zhang, Cheng (56241467900); Allafi, Walid (56337553600); Dinh, Quang (23061895400); Ascencio, Pedro (7801583209); Marco, James (16305142700)",56241467900; 56337553600; 23061895400; 7801583209; 16305142700,Online estimation of battery equivalent circuit model parameters and state of charge using decoupled least squares technique,2018,327,10.1016/j.energy.2017.10.043,https://www.scopus.com/pages/publications/85032028045?origin=resultslist,passed_stage1,"voltage, current",passed_stage2,"voltage, current",relevant
Williams N.P.; Trimble D.; O'Shaughnessy S.M.,"Williams, N.P. (57195738953); Trimble, D. (55179284300); O'Shaughnessy, S.M. (24472014200)",57195738953; 55179284300; 24472014200,Liquid immersion thermal management of lithium-ion batteries for electric vehicles: An experimental study,2023,50,10.1016/j.est.2023.108636,https://www.scopus.com/pages/publications/85167788917?origin=resultslist,passed_stage1,"charge, voltage, discharge, current",passed_stage2,"current, voltage",relevant
Gulsoy B.; Vincent T.A.; Sansom J.E.H.; Marco J.,"Gulsoy, B. (57358277200); Vincent, T.A. (56526354400); Sansom, J.E.H. (57357511700); Marco, J. (16305142700)",57358277200; 56526354400; 57357511700; 16305142700,In-situ temperature monitoring of a lithium-ion battery using an embedded thermocouple for smart battery applications,2022,87,10.1016/j.est.2022.105260,https://www.scopus.com/pages/publications/85134306273?origin=resultslist,passed_stage1,"capacity, voltage, discharge, current",passed_stage2,capacity,relevant
Datas A.; López-Ceballos A.; López E.; Ramos A.; del Cañizo C.,"Datas, Alejandro (22633692900); López-Ceballos, Alicia (57446988700); López, Esther (55414354000); Ramos, Alba (55436703400); del Cañizo, Carlos (56259522800)",22633692900; 57446988700; 55414354000; 55436703400; 56259522800,Latent heat thermophotovoltaic batteries,2022,53,10.1016/j.joule.2022.01.010,https://www.scopus.com/pages/publications/85124404834?origin=resultslist,passed_stage1,"capacity, discharge",passed_stage2,"capacity, voltage, discharge, current",relevant
Wang Z.; Zhao X.; Zhang H.; Zhen D.; Gu F.; Ball A.,"Wang, Zuolu (57205615418); Zhao, Xiaoyu (57721158000); Zhang, Hao (57192483414); Zhen, Dong (55489116300); Gu, Fengshou (35236971500); Ball, Andrew (7202932654)",57205615418; 57721158000; 57192483414; 55489116300; 35236971500; 7202932654,Active acoustic emission sensing for fast co-estimation of state of charge and state of health of the lithium-ion battery,2023,50,10.1016/j.est.2023.107192,https://www.scopus.com/pages/publications/85150485905?origin=resultslist,passed_stage1,"charge, capacity, voltage, discharge",passed_stage2,"charge, voltage, discharge",relevant
Nájera J.; Arribas J.R.; de Castro R.M.; Núñez C.S.,"Nájera, J. (57197827090); Arribas, J.R. (7103041120); de Castro, R.M. (36992975400); Núñez, C.S. (58522042900)",57197827090; 7103041120; 36992975400; 58522042900,Semi-empirical ageing model for LFP and NMC Li-ion battery chemistries,2023,61,10.1016/j.est.2023.108016,https://www.scopus.com/pages/publications/85166647062?origin=resultslist,passed_stage1,discharge,passed_stage2,capacity,relevant
Li D.; Sun Y.; Yang Z.; Gu L.; Chen Y.; Zhou H.,"Li, De (7405320920); Sun, Yang (56711435300); Yang, Zhenzhong (55605770776); Gu, Lin (7202674863); Chen, Yong (55915468500); Zhou, Haoshen (7404742301)",7405320920; 56711435300; 55605770776; 7202674863; 55915468500; 7404742301,Electrochemical Oscillation in Li-Ion Batteries,2018,61,10.1016/j.joule.2018.03.014,https://www.scopus.com/pages/publications/85045285672?origin=resultslist,passed_stage1,voltage,passed_stage2,"charge, capacity, voltage, discharge",relevant
Allen J.M.; Weddle P.J.; Verma A.; Mallarapu A.; Usseglio-Viretta F.; Finegan D.P.; Colclasure A.M.; Mai W.; Schmidt V.; Furat O.; Diercks D.; Tanim T.; Smith K.,"Allen, Jeffery M. (57190956789); Weddle, Peter J. (57126387300); Verma, Ankit (56159891200); Mallarapu, Anudeep (57195466538); Usseglio-Viretta, Francois (56974790700); Finegan, Donal P. (56613490600); Colclasure, Andrew M. (14628346800); Mai, Weijie (57211276502); Schmidt, Volker (58723110300); Furat, Orkun (57203537124); Diercks, David (15058621100); Tanim, Tanvir (36091990000); Smith, Kandler (55489781700)",57190956789; 57126387300; 56159891200; 57195466538; 56974790700; 56613490600; 14628346800; 57211276502; 58723110300; 57203537124; 15058621100; 36091990000; 55489781700,Quantifying the influence of charge rate and cathode-particle architectures on degradation of Li-ion cells through 3D continuum-level damage models,2021,74,10.1016/j.jpowsour.2021.230415,https://www.scopus.com/pages/publications/85114673774?origin=resultslist,passed_stage1,"capacity, charge, discharge",passed_stage2,capacity,relevant
Zhao Y.; Wang R.; Martínez-Pañeda E.,"Zhao, Ying (56895412200); Wang, Runzi (57777468900); Martínez-Pañeda, Emilio (56228621100)",56895412200; 57777468900; 56228621100,A phase field electro-chemo-mechanical formulation for predicting void evolution at the Li–electrolyte interface in all-solid-state batteries,2022,69,10.1016/j.jmps.2022.104999,https://www.scopus.com/pages/publications/85133303157?origin=resultslist,passed_stage1,"charge, current, discharge",passed_stage2,current,relevant
Li L.; Ren Y.; O'Regan K.; Koleti U.R.; Kendrick E.; Widanage W.D.; Marco J.,"Li, Liuying (57214464376); Ren, Yaxing (56126493700); O'Regan, Kieran (57216683450); Koleti, Upender Rao (57209247674); Kendrick, Emma (57202210744); Widanage, W. Dhammika (16317933200); Marco, James (16305142700)",57214464376; 56126493700; 57216683450; 57209247674; 57202210744; 16317933200; 16305142700,Lithium-ion battery cathode and anode potential observer based on reduced-order electrochemical single particle model,2021,53,10.1016/j.est.2021.103324,https://www.scopus.com/pages/publications/85122804982?origin=resultslist,passed_stage1,"charge, discharge, current, voltage",passed_stage2,"discharge, charge, voltage, current",relevant
Sun Z.; Guo Y.; Zhang C.; Whitehouse J.; Zhou Q.; Xu H.; Wang C.,"Sun, Zeyu (57223110054); Guo, Yue (56151726800); Zhang, Cheng (56241467900); Whitehouse, Jon (57981055200); Zhou, Quan (56136932700); Xu, Hongming (16199134500); Wang, Chongming (55195113100)",57223110054; 56151726800; 56241467900; 57981055200; 56136932700; 16199134500; 55195113100,Experimental study of battery passive thermal management system using copper foam-based phase change materials,2023,83,10.1016/j.ijft.2022.100255,https://www.scopus.com/pages/publications/85143769898?origin=resultslist,passed_stage1,discharge,passed_stage2,discharge,relevant
Wei Y.; Wu D.,"Wei, Yupeng (24323335700); Wu, Dazhong (37015011600)",24323335700; 37015011600,State of health and remaining useful life prediction of lithium-ion batteries with conditional graph convolutional network,2024,63,10.1016/j.eswa.2023.122041,https://www.scopus.com/pages/publications/85174182999?origin=resultslist,passed_stage1,"capacity, discharge, plot, current, voltage",passed_stage2,"capacity, voltage, discharge, current",relevant
Chen L.; An J.; Wang H.; Zhang M.; Pan H.,"Chen, Lin (57033263700); An, Jingjing (57214337401); Wang, Huimin (57824926400); Zhang, Mo (57218499855); Pan, Haihong (56184821000)",57033263700; 57214337401; 57824926400; 57218499855; 56184821000,Remaining useful life prediction for lithium-ion battery by combining an improved particle filter with sliding-window gray model,2020,61,10.1016/j.egyr.2020.07.026,https://www.scopus.com/pages/publications/85089340647?origin=resultslist,passed_stage1,capacity,passed_stage2,capacity,relevant
Li Y.; Qi F.; Guo H.; Guo Z.; Li M.; Wu W.,"Li, Yuan (59071772300); Qi, Fei (35082538300); Guo, Hao (56939541300); Guo, Zhiping (7404657462); Li, Meiying (57205418663); Wu, Wenliang (57205419074)",59071772300; 35082538300; 56939541300; 7404657462; 57205418663; 57205419074,                         Characteristic investigation of an electrochemical-thermal coupled model for a LiFePO                         4                         /Graphene hybrid cathode lithium-ion battery                     ,2019,50,10.1016/j.csite.2018.100387,https://www.scopus.com/pages/publications/85059952886?origin=resultslist,passed_stage1,"voltage, discharge, current",passed_stage2,"voltage, discharge, current",relevant
Narayan N.; Papakosta T.; Vega-Garita V.; Qin Z.; Popovic-Gerber J.; Bauer P.; Zeman M.,"Narayan, Nishant (57190741326); Papakosta, Thekla (57194387310); Vega-Garita, Victor (57190512594); Qin, Zian (56027806900); Popovic-Gerber, Jelena (24766526800); Bauer, Pavol (25630244000); Zeman, Miroslav (7102748896)",57190741326; 57194387310; 57190512594; 56027806900; 24766526800; 25630244000; 7102748896,Estimating battery lifetimes in Solar Home System design using a practical modelling methodology,2018,81,10.1016/j.apenergy.2018.06.152,https://www.scopus.com/pages/publications/85049870400?origin=resultslist,passed_stage1,"capacity, cycle life, current, curve",passed_stage2,cycle life,relevant
Dhillon S.; Hernández G.; Wagner N.P.; Svensson A.M.; Brandell D.,"Dhillon, Shweta (55674309000); Hernández, Guiomar (56489840200); Wagner, Nils P. (56585415500); Svensson, Ann Mari (55665877500); Brandell, Daniel (6507737645)",55674309000; 56489840200; 56585415500; 55665877500; 6507737645,Modelling capacity fade in silicon-graphite composite electrodes for lithium-ion batteries,2021,59,10.1016/j.electacta.2021.138067,https://www.scopus.com/pages/publications/85102631746?origin=resultslist,passed_stage1,"charge, capacity, discharge, current, voltage",passed_stage2,"capacity, charge, voltage, discharge",relevant
Lu X.; Lian G.J.; Parker J.; Ge R.; Sadan M.K.; Smith R.M.; Cumming D.,"Lu, Xuesong (57194640744); Lian, Guo J. (58555506900); Parker, James (58555702600); Ge, Ruihuan (54793001900); Sadan, Milan K. (56971287500); Smith, Rachel M. (56141865500); Cumming, Denis (12140012900)",57194640744; 58555506900; 58555702600; 54793001900; 56971287500; 56141865500; 12140012900,Effect of carbon blacks on electrical conduction and conductive binder domain of next-generation lithium-ion batteries,2024,86,10.1016/j.jpowsour.2023.233916,https://www.scopus.com/pages/publications/85179794313?origin=resultslist,passed_stage1,"discharge, charge, capacity, impedance",passed_stage2,impedance,relevant
Jia J.; Yuan S.; Shi Y.; Wen J.; Pang X.; Zeng J.,"Jia, Jianfang (22834898300); Yuan, Shufang (57486599100); Shi, Yuanhao (55264016900); Wen, Jie (57188679982); Pang, Xiaoqiong (57204543802); Zeng, Jianchao (7402652251)",22834898300; 57486599100; 55264016900; 57188679982; 57204543802; 7402652251,Improved sparrow search algorithm optimization deep extreme learning machine for lithium-ion battery state-of-health prediction,2022,78,10.1016/j.isci.2022.103988,https://www.scopus.com/pages/publications/85126270471?origin=resultslist,passed_stage1,"capacity, voltage, current",passed_stage2,capacity,relevant
Hall F.; Touzri J.; Wußler S.; Buqa H.; Bessler W.G.,"Hall, Florian (57191662828); Touzri, Jonas (57201010352); Wußler, Sabine (57191657865); Buqa, Hilmi (56616166300); Bessler, Wolfgang G. (57215636217)",57191662828; 57201010352; 57191657865; 56616166300; 57215636217,Experimental investigation of the thermal and cycling behavior of a lithium titanate-based lithium-ion pouch cell,2018,50,10.1016/j.est.2018.02.012,https://www.scopus.com/pages/publications/85042851956?origin=resultslist,passed_stage1,"charge, capacity, discharge, impedance, current, voltage",passed_stage2,"capacity, charge, discharge",relevant
Shen D.; Yang D.; Lyu C.; Hinds G.; Wang L.; Bai M.,"Shen, Dongxu (57213264339); Yang, Dazhi (55699386400); Lyu, Chao (55509789700); Hinds, Gareth (7004457700); Wang, Lixin (56262536700); Bai, Miao (58078042100)",57213264339; 55699386400; 55509789700; 7004457700; 56262536700; 58078042100,Detection and quantitative diagnosis of micro-short-circuit faults in lithium-ion battery packs considering cell inconsistency,2023,62,10.1016/j.geits.2023.100109,https://www.scopus.com/pages/publications/85170070713?origin=resultslist,passed_stage1,"charge, current, discharge, curve",passed_stage2,"voltage, current, curve",relevant
Guo J.; Che Y.; Pedersen K.; Stroe D.-I.,"Guo, Jia (57730007000); Che, Yunhong (57214465438); Pedersen, Kjeld (58098305700); Stroe, Daniel-Ioan (36683200900)",57730007000; 57214465438; 58098305700; 36683200900,Battery impedance spectrum prediction from partial charging voltage curve by machine learning,2023,64,10.1016/j.jechem.2023.01.004,https://www.scopus.com/pages/publications/85147830663?origin=resultslist,passed_stage1,"voltage, impedance, current, curve",passed_stage2,"charge, capacity, voltage, curve",relevant
Sahoo S.; Sahoo G.; Jeong S.M.; Rout C.S.,"Sahoo, Surjit (56939953400); Sahoo, Gopinath (57195734215); Jeong, Sang Mun (7402425094); Rout, Chandra Sekhar (11739345900)",56939953400; 57195734215; 7402425094; 11739345900,A review on supercapacitors based on plasma enhanced chemical vapor deposited vertical graphene arrays,2022,83,10.1016/j.est.2022.105212,https://www.scopus.com/pages/publications/85133197424?origin=resultslist,passed_stage1,"charge, discharge, current",passed_stage2,"voltage, current",relevant
Wang T.; Zhu Y.; Zhao W.; Gong Y.; Zhang Z.; Gao W.; Shang Y.,"Wang, Teng (57199031063); Zhu, Yuhao (57939497600); Zhao, Wenyuan (57856520200); Gong, Yichang (59137123000); Zhang, Zhen (57427922500); Gao, Wei (57225919478); Shang, Yunlong (55968983300)",57199031063; 57939497600; 57856520200; 59137123000; 57427922500; 57225919478; 55968983300,Capacity degradation analysis and knee point prediction for lithium-ion batteries,2024,52,10.1016/j.geits.2024.100171,https://www.scopus.com/pages/publications/85194896639?origin=resultslist,passed_stage1,"capacity, discharge, curve",passed_stage2,"capacity, voltage, curve",relevant
Khossossi N.; Luo W.; Haman Z.; Singh D.; Essaoudi I.; Ainane A.; Ahuja R.,"Khossossi, Nabil (57203897377); Luo, Wei (7202198970); Haman, Zakaryae (57215097572); Singh, Deobrat (56603539800); Essaoudi, Ismail (6505910555); Ainane, Abdelmajid (7003861350); Ahuja, Rajeev (57203048243)",57203897377; 7202198970; 57215097572; 56603539800; 6505910555; 7003861350; 57203048243,Revealing the superlative electrochemical properties of o-B2N2 monolayer in Lithium/Sodium-ion batteries,2022,71,10.1016/j.nanoen.2022.107066,https://www.scopus.com/pages/publications/85125667832?origin=resultslist,passed_stage1,"charge, capacity, voltage, specific capacity",passed_stage2,"capacity, voltage, specific capacity",relevant
Katrašnik T.; Mele I.; Zelič K.,"Katrašnik, Tomaž (10440591100); Mele, Igor (57197809257); Zelič, Klemen (57191615292)",10440591100; 57197809257; 57191615292,Multi-scale modelling of Lithium-ion batteries: From transport phenomena to the outbreak of thermal runaway,2021,77,10.1016/j.enconman.2021.114036,https://www.scopus.com/pages/publications/85103973328?origin=resultslist,passed_stage1,"capacity, voltage, discharge, curve",passed_stage2,voltage,relevant
Pandit B.; Rondiya S.R.; Shaikh S.F.; Ubaidullah M.; Amaral R.; Dzade N.Y.; Goda E.S.; ul Hassan Sarwar Rana A.; Singh Gill H.; Ahmad T.,"Pandit, Bidhan (57193531611); Rondiya, Sachin R. (55886695700); Shaikh, Shoyebmohamad F. (56386846700); Ubaidullah, Mohd (55505602100); Amaral, Ricardo (58041218900); Dzade, Nelson Y. (36547612100); Goda, Emad S. (56968018000); ul Hassan Sarwar Rana, Abu (56915989500); Singh Gill, Harjot (57195239722); Ahmad, Tokeer (7101735632)",57193531611; 55886695700; 56386846700; 55505602100; 58041218900; 36547612100; 56968018000; 56915989500; 57195239722; 7101735632,Regulated electrochemical performance of manganese oxide cathode for potassium-ion batteries: A combined experimental and first-principles density functional theory (DFT) investigation,2023,51,10.1016/j.jcis.2022.11.070,https://www.scopus.com/pages/publications/85145491559?origin=resultslist,passed_stage1,"charge, voltage, discharge, current",passed_stage2,"charge, capacity, discharge, voltage, specific capacity",relevant
Faraji Niri M.; Reynolds C.; Román Ramírez L.A.; Kendrick E.; Marco J.,"Faraji Niri, Mona (54683766000); Reynolds, Carl (57201014392); Román Ramírez, Luis AA (36651329400); Kendrick, Emma (57202210744); Marco, James (16305142700)",54683766000; 57201014392; 36651329400; 57202210744; 16305142700,Systematic analysis of the impact of slurry coating on manufacture of Li-ion battery electrodes via explainable machine learning,2022,75,10.1016/j.ensm.2022.06.036,https://www.scopus.com/pages/publications/85133227227?origin=resultslist,passed_stage1,"capacity, plot",passed_stage2,capacity,relevant
Naguib M.; Allu S.; Simunovic S.; Li J.; Wang H.; Dudney N.J.,"Naguib, Michael (44761510300); Allu, Srikanth (55601139000); Simunovic, Srdjan (6701554352); Li, Jianlin (55883344000); Wang, Hsin (7501735601); Dudney, Nancy J. (7003518817)",44761510300; 55601139000; 6701554352; 55883344000; 7501735601; 7003518817,Limiting Internal Short-Circuit Damage by Electrode Partition for Impact-Tolerant Li-Ion Batteries,2018,63,10.1016/j.joule.2017.11.003,https://www.scopus.com/pages/publications/85041668314?origin=resultslist,passed_stage1,discharge,passed_stage2,voltage,relevant
Kirkaldy N.; Samieian M.A.; Offer G.J.; Marinescu M.; Patel Y.,"Kirkaldy, Niall (56331175100); Samieian, Mohammad A. (57195776352); Offer, Gregory J. (23098060000); Marinescu, Monica (36701631300); Patel, Yatish (7102704171)",56331175100; 57195776352; 23098060000; 36701631300; 7102704171,Lithium-ion battery degradation: Comprehensive cycle ageing data and analysis for commercial 21700 cells,2024,58,10.1016/j.jpowsour.2024.234185,https://www.scopus.com/pages/publications/85189760020?origin=resultslist,passed_stage1,"charge, capacity, discharge, current, voltage",passed_stage2,"charge, capacity, voltage, discharge",relevant
Counihan M.J.; Chavan K.S.; Barai P.; Powers D.J.; Zhang Y.; Srinivasan V.; Tepavcevic S.,"Counihan, Michael J. (57201113623); Chavan, Kanchan S. (6508059770); Barai, Pallab (23388651800); Powers, Devon J. (57194702302); Zhang, Yuepeng (36180579000); Srinivasan, Venkat (7201539964); Tepavcevic, Sanja (6508031400)",57201113623; 6508059770; 23388651800; 57194702302; 36180579000; 7201539964; 6508031400,The phantom menace of dynamic soft-shorts in solid-state battery research,2024,72,10.1016/j.joule.2023.11.007,https://www.scopus.com/pages/publications/85182267715?origin=resultslist,passed_stage1,"current, impedance",passed_stage2,"current, impedance",relevant
Wang S.; Zhou R.; Ren Y.; Jiao M.; Liu H.; Lian C.,"Wang, Sijing (58996761000); Zhou, Ruoyu (59320886300); Ren, Yijia (59320309400); Jiao, Meiyuan (59138950100); Liu, Honglai (34570619200); Lian, Cheng (55571313700)",58996761000; 59320886300; 59320309400; 59138950100; 34570619200; 55571313700,Advanced data-driven techniques in AI for predicting lithium-ion battery remaining useful life: a comprehensive review,2025,58,10.1016/j.gce.2024.09.001,https://www.scopus.com/pages/publications/86000431565?origin=resultslist,passed_stage1,"capacity, voltage",passed_stage2,voltage,relevant
