Authors,Author full names,Author(s) ID,Year,Cited by,DOI,Link,stage1_status,stage1_matched_kws,stage2_status,stage2_matched_kws,final_status
Nishikata A.; Ichihara Y.; Hayashi Y.; Tsuru T.,"Nishikata, A. (7006774015); Ichihara, Y. (36887724500); Hayashi, Y. (57193119011); Tsuru, T. (12755537800)",7006774015; 36887724500; 57193119011; 12755537800,1997,255,10.1149/1.1837578,https://www.scopus.com/pages/publications/0031117719?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Parthipan P.; Sabarinathan D.; Angaiah S.; Rajasekar A.,"Parthipan, Punniyakotti (57193152696); Sabarinathan, Devaraj (57194395660); Angaiah, Subramania (6603264030); Rajasekar, Aruliah (55928874800)",57193152696; 57194395660; 6603264030; 55928874800,2018,77,10.1016/j.molliq.2018.04.045,https://www.scopus.com/pages/publications/85045762059?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Ariza E.; Rocha L.A.; Vaz F.; Cunha L.; Ferreira S.C.; Carvalho P.; Rebouta L.; Alves E.; Goudeau Ph.; Rivière J.P.,"Ariza, E. (6506502937); Rocha, L.A. (35480380200); Vaz, F. (56488157400); Cunha, L. (7005093991); Ferreira, S.C. (25627794700); Carvalho, P. (59432622800); Rebouta, L. (7003449734); Alves, E. (59968545600); Goudeau, Ph. (55321396400); Rivière, J.P. (35472914300)",6506502937; 35480380200; 56488157400; 7005093991; 25627794700; 59432622800; 7003449734; 59968545600; 55321396400; 35472914300,2004,59,10.1016/j.tsf.2004.08.091,https://www.scopus.com/pages/publications/10044259696?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Forouzanmehr M.; Kashyzadeh K.R.; Borjali A.; Ivanov A.; Jafarnode M.; Gan T.-H.; Wang B.; Chizari M.,"Forouzanmehr, Mohsen (57219022770); Kashyzadeh, Kazem Reza (57427771300); Borjali, Amirhossein (57219055468); Ivanov, Anastas (57198676454); Jafarnode, Mosayeb (57413770300); Gan, Tat-Hean (7103369965); Wang, Bin (55636317992); Chizari, Mahmoud (23092885400)",57219022770; 57427771300; 57219055468; 57198676454; 57413770300; 7103369965; 55636317992; 23092885400,2022,39,10.3390/s22030750,https://www.scopus.com/pages/publications/85122875320?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Yu Z.; Zhou C.; Liu R.; Zhang Q.; Gong J.; Tao D.; Ji Z.,"Yu, Zhiqiang (57213677568); Zhou, Chen (57193503409); Liu, Rong (56316380000); Zhang, Qiaoxin (13402891200); Gong, Jingwen (34972864500); Tao, Dihao (57211034502); Ji, Zhiyong (57213677335)",57213677568; 57193503409; 56316380000; 13402891200; 34972864500; 57211034502; 57213677335,2020,60,10.1016/j.colsurfa.2020.124475,https://www.scopus.com/pages/publications/85077951753?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Tian Y.; Xie Y.; Dai F.; Huang H.; Zhong L.; Zhang X.,"Tian, Yuqin (57205667678); Xie, Yuhui (57131707300); Dai, Fei (57212493016); Huang, Haowei (57207276402); Zhong, Li (7201519099); Zhang, Xinya (36063556100)",57205667678; 57131707300; 57212493016; 57207276402; 7201519099; 36063556100,2020,91,10.1016/j.surfcoat.2019.125227,https://www.scopus.com/pages/publications/85076845918?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Eraković S.; Janković A.; Matić I.Z.; Juranić Z.D.; Vukašinović-Sekulić M.; Stevanović T.; Miskovic-Stankovic V.,"Eraković, Sanja (35291722400); Janković, Ana (55543226700); Matić, Ivana Z. (36572349500); Juranić, Zorica D. (7003932917); Vukašinović-Sekulić, Maja (36680801900); Stevanović, Tatjana (8525452100); Miskovic-Stankovic, Vesna (7003962185)",35291722400; 55543226700; 36572349500; 7003932917; 36680801900; 8525452100; 7003962185,2013,44,10.1016/j.matchemphys.2013.07.047,https://www.scopus.com/pages/publications/84884563431?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Muralidharan S.; Saraswathy V.; Berchmans L.J.; Thangavel K.; Ann K.Y.,"Muralidharan, S. (14123517400); Saraswathy, V. (55907747700); Berchmans, L. John (55666770600); Thangavel, K. (6603851090); Ann, Ki Yong (22978374800)",14123517400; 55907747700; 55666770600; 6603851090; 22978374800,2010,40,10.1016/j.snb.2009.11.071,https://www.scopus.com/pages/publications/76949108447?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Rotariu L.; Zamfir L.-G.; Bala C.,"Rotariu, Lucian (6507719082); Zamfir, Lucian-Gabriel (36913015200); Bala, Camelia (6603592955)",6507719082; 36913015200; 6603592955,2010,36,10.1016/j.snb.2010.07.040,https://www.scopus.com/pages/publications/79952818062?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
El Basiony N.M.; Salim M.M.; Elaraby A.; Elbalaawy A.Y.; Nasser A.; Migahed M.A.; AbdEl-Raouf M.; Shin J.; Shaban S.M.; Kim D.-H.; Azab M.M.; Abo-Riya M.A.,"El Basiony, N.M. (57208523094); Salim, M.M. (57958388100); Elaraby, A. (57222590930); Elbalaawy, Ahmed Y. (57412217200); Nasser, Ahmed (57210825455); Migahed, M.A. (58995148200); AbdEl-Raouf, M. (7003968106); Shin, Jihoon (57220893058); Shaban, Samy M. (57708859900); Kim, Dong-Hwan (58671599100); Azab, M.M. (7004476989); Abo-Riya, Mohamed A. (56192003300)",57208523094; 57958388100; 57222590930; 57412217200; 57210825455; 58995148200; 7003968106; 57220893058; 57708859900; 58671599100; 7004476989; 56192003300,2024,43,10.1016/j.molliq.2024.124475,https://www.scopus.com/pages/publications/85188681550?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Liu Y.; Zhang J.; Wei Y.; Wang Z.,"Liu, Yuwei (59647234700); Zhang, Jian (59070115400); Wei, Yinghua (12785563800); Wang, Zhenyao (23096008000)",59647234700; 59070115400; 12785563800; 23096008000,2019,38,10.1016/j.matchemphys.2019.121855,https://www.scopus.com/pages/publications/85068849296?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Zhao R.-F.; Ren B.; Cai B.; Liu Z.-X.; Zhang G.-P.; Zhang J.-J.,"Zhao, Rui-Feng (55647230600); Ren, Bo (35293356900); Cai, Bin (57205100750); Liu, Zhong-Xia (7406684218); Zhang, Guo-Peng (57190189851); Zhang, Jian-jian (57203181014)",55647230600; 35293356900; 57205100750; 7406684218; 57190189851; 57203181014,2019,78,10.1016/j.rinp.2019.102667,https://www.scopus.com/pages/publications/85072580486?origin=resultslist,dropped_stage1,,not_processed_stage2,,dropped — no caption keywords (stage 1)
Brushett F.R.; Zhou W.-P.; Jayashree R.S.; Kenis P.J.A.,"Brushett, Fikile R. (35489877400); Zhou, Wei-Ping (9248334300); Jayashree, Ranga S. (9846424900); Kenis, Paul J. A. (6701733846)",35489877400; 9248334300; 9846424900; 6701733846,2009,75,10.1149/1.3083226,https://www.scopus.com/pages/publications/63649091820?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Miao Y.; Lee D.T.; de Mello M.D.; Ahmad M.; Abdel-Rahman M.K.; Eckhert P.M.; Boscoboinik J.A.; Fairbrother D.H.; Tsapatsis M.,"Miao, Yurun (56516069000); Lee, Dennis T. (57222338172); de Mello, Matheus Dorneles (57202416844); Ahmad, Mueed (57420966900); Abdel-Rahman, Mohammed K. (57194278533); Eckhert, Patrick M. (57420967000); Boscoboinik, J. Anibal (25521245000); Fairbrother, D. Howard (7004543225); Tsapatsis, Michael (7005981012)",56516069000; 57222338172; 57202416844; 57420966900; 57194278533; 57420967000; 25521245000; 7004543225; 7005981012,2022,41,10.1038/s41467-022-28050-z,https://www.scopus.com/pages/publications/85123251971?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Amiri H.; Mohammadi I.; Afshar A.,"Amiri, Hamed (57192921130); Mohammadi, Iman (57191797421); Afshar, Abdollah (56260346100)",57192921130; 57191797421; 56260346100,2017,61,10.1016/j.surfcoat.2016.12.103,https://www.scopus.com/pages/publications/85009107893?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Chan Y.-C.; Chen H.-W.; Chao P.-S.; Duh J.-G.; Lee J.-W.,"Chan, Yu-Chen (57011469700); Chen, Hsien-Wei (7501620194); Chao, Pen-Shen (55140039100); Duh, Jenq-Gong (35561165300); Lee, Jyh-Wei (8212936600)",57011469700; 7501620194; 55140039100; 35561165300; 8212936600,2013,45,10.1016/j.vacuum.2012.02.052,https://www.scopus.com/pages/publications/84875465279?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Prasai D.; Tuberquia J.C.; Harl R.R.; Jennings G.K.; Bolotin K.I.,"Prasai, Dhiraj (36858773200); Tuberquia, Juan Carlos (36104771900); Harl, Robert R. (36607957300); Jennings, G. Kane (7202261134); Bolotin, Kirill I. (12139592500)",36858773200; 36104771900; 36607957300; 7202261134; 12139592500,2012,1276,10.1021/nn203507y,https://www.scopus.com/pages/publications/84857718091?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Zhang J.; Dai C.; Wei J.; Wen Z.; Zhang S.; Chen C.,"Zhang, Jie (59836564800); Dai, Changsong (7202309633); Wei, Jie (59881759600); Wen, Zhaohui (35191302100); Zhang, Shujuan (55737271200); Chen, Chuang (55779315900)",59836564800; 7202309633; 59881759600; 35191302100; 55737271200; 55779315900,2013,71,10.1016/j.colsurfb.2013.05.040,https://www.scopus.com/pages/publications/84879558917?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Zhang Y.; Tian J.; Zhong J.; Shi X.,"Zhang, Yan (57038236100); Tian, Jingwei (57203938903); Zhong, Jing (55179490100); Shi, Xianming (57203312645)",57038236100; 57203938903; 55179490100; 57203312645,2018,196,10.1021/acsnano.8b05183,https://www.scopus.com/pages/publications/85053707794?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Bütev Öcal E.; Esen Z.; Aydınol K.; Dericioğlu A.F.,"Bütev Öcal, Ezgi (56493148800); Esen, Ziya (15725067800); Aydınol, Kadri (57212035517); Dericioğlu, Arcan F. (6602975604)",56493148800; 15725067800; 57212035517; 6602975604,2020,67,10.1016/j.matchemphys.2019.122350,https://www.scopus.com/pages/publications/85075790495?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Menthe E.; Rie K.-T.,"Menthe, E. (56635752700); Rie, K.-T. (35563481100)",56635752700; 35563481100,1999,84,10.1016/S0257-8972(98)00793-2,https://www.scopus.com/pages/publications/0033080202?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Ravichandran R.; Rajendran N.,"Ravichandran, R. (60259608000); Rajendran, N. (57206031474)",60259608000; 57206031474,2005,72,10.1016/j.apsusc.2004.05.145,https://www.scopus.com/pages/publications/10444239461?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Zhang Q.; Wang S.; Zhou Z.; Ma G.; Jiang W.; Guo X.; Zhao S.,"Zhang, Qiang (55624487176); Wang, Shumei (36834429100); Zhou, Zhufa (9133542100); Ma, Guilin (7202153011); Jiang, Wenwen (59875140600); Guo, Xinshuang (59853148600); Zhao, Song (54407808000)",55624487176; 36834429100; 9133542100; 7202153011; 59875140600; 59853148600; 54407808000,2011,52,10.1016/j.ssi.2011.03.025,https://www.scopus.com/pages/publications/79956084561?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Al-Mobarak N.A.; Al-Mayouf A.M.; Al-Swayih A.A.,"Al-Mobarak, N.A. (6508245664); Al-Mayouf, A.M. (6701894262); Al-Swayih, A.A. (6507410496)",6508245664; 6701894262; 6507410496,2006,39,10.1016/j.matchemphys.2005.10.032,https://www.scopus.com/pages/publications/33747886043?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Lim A.B.Y.; Neo W.J.; Yauw O.; Chylak B.; Gan C.L.; Chen Z.,"Lim, Adeline B.Y. (55787073000); Neo, Wei Jian (57015034100); Yauw, Oranna (7801582439); Chylak, Bob (55885223400); Gan, Chee Lip (7006659513); Chen, Zhong (7409485241)",55787073000; 57015034100; 7801582439; 55885223400; 7006659513; 7409485241,2016,41,10.1016/j.microrel.2015.10.012,https://www.scopus.com/pages/publications/84954077079?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Gawad S.A.; Nasr A.; Fekry A.M.; Filippov L.O.,"Gawad, Soha Abdel (8209043600); Nasr, Ahmed (57214945727); Fekry, Amany M. (6602466528); Filippov, Lev O. (7005407446)",8209043600; 57214945727; 6602466528; 7005407446,2021,38,10.1016/j.ijhydene.2021.03.018,https://www.scopus.com/pages/publications/85103720179?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Xu C.; Zhang Y.; Cheng G.; Zhu W.,"Xu, Congmin (15066180500); Zhang, Yaoheng (15066265900); Cheng, Guangxu (7401862436); Zhu, Wensheng (15066232600)",15066180500; 15066265900; 7401862436; 15066232600,2008,119,10.1016/j.matchar.2007.01.001,https://www.scopus.com/pages/publications/38149086677?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Moraes F.C.; Cabral M.F.; Mascaro L.H.; MacHado S.A.S.,"Moraes, F.C. (35622281900); Cabral, M.F. (16199548300); Mascaro, L.H. (7004117269); MacHado, S.A.S. (35311396100)",35622281900; 16199548300; 7004117269; 35311396100,2011,67,10.1016/j.susc.2010.11.014,https://www.scopus.com/pages/publications/78651262857?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Wang Y.; Cui L.-Y.; Zeng R.-C.; Li S.-Q.; Zou Y.-H.; Han E.-H.,"Wang, Yu (57221510501); Cui, Lan-Yue (57109713800); Zeng, Rong-Chang (22636567500); Li, Shuo-Qi (37860905200); Zou, Yu-Hong (56517401900); Han, En-Hou (7101875388)",57221510501; 57109713800; 22636567500; 37860905200; 56517401900; 7101875388,2017,54,10.3390/ma10070725,https://www.scopus.com/pages/publications/85021627715?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
QIU Z.-M.; ZENG R.-C.; ZHANG F.; SONG L.; LI S.-Q.,"QIU, Zai-meng (57208238847); ZENG, Rong-chang (22636567500); ZHANG, Fen (55487137700); SONG, Liang (59593422400); LI, Shuo-qi (37860905200)",57208238847; 22636567500; 55487137700; 59593422400; 37860905200,2020,76,10.1016/S1003-6326(20)65435-8,https://www.scopus.com/pages/publications/85098466115?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Gao Y.; Zhao L.; Yao X.; Hang R.; Zhang X.; Tang B.,"Gao, Yue'e (59809291700); Zhao, Lianfu (57200618097); Yao, Xiaohong (36678444100); Hang, Ruiqiang (15750661200); Zhang, Xiangyu (60022510000); Tang, Bin (55185495300)",59809291700; 57200618097; 36678444100; 15750661200; 60022510000; 55185495300,2018,47,10.1016/j.surfcoat.2018.06.018,https://www.scopus.com/pages/publications/85048836342?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Abdallah M.; Sobhi M.; Al-Tass H.M.,"Abdallah, M. (55976327800); Sobhi, M. (59668418700); Al-Tass, H.M. (57103782100)",55976327800; 59668418700; 57103782100,2016,75,10.1016/j.molliq.2016.09.006,https://www.scopus.com/pages/publications/84988354018?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Wang Y.; Zhang D.,"Wang, Yi (55902725300); Zhang, Dun (7405360482)",55902725300; 7405360482,2011,91,10.1016/j.materresbull.2011.07.021,https://www.scopus.com/pages/publications/80052850374?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Flis J.; Zakroczymski T.,"Flis, J. (7003299166); Zakroczymski, T. (7004240322)",7003299166; 7004240322,1996,183,10.1149/1.1837031,https://www.scopus.com/pages/publications/0030214854?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Zhu Q.; Li Y.; Cao F.; Qiu D.; Yang Y.; Wang J.; Zhang H.; Ying T.; Ding W.; Zeng X.,"Zhu, Qingchun (58093379500); Li, Yangxin (56075902400); Cao, Fuyong (55771199800); Qiu, Dong (25959377800); Yang, Yao (57190702573); Wang, Jingya (57202343162); Zhang, Huan (57216240998); Ying, Tao (36912817800); Ding, Wenjiang (58903339600); Zeng, Xiaoqin (7403248086)",58093379500; 56075902400; 55771199800; 25959377800; 57190702573; 57202343162; 57216240998; 36912817800; 58903339600; 7403248086,2022,219,10.1038/s41467-022-33480-w,https://www.scopus.com/pages/publications/85139158694?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Adekunle A.S.; Agboola B.O.; Pillay J.; Ozoemena K.I.,"Adekunle, Abolanle S. (23988486300); Agboola, Bolade O. (6507488299); Pillay, Jeseelan (14054611100); Ozoemena, Kenneth I. (6603505862)",23988486300; 6507488299; 14054611100; 6603505862,2010,167,10.1016/j.snb.2010.03.088,https://www.scopus.com/pages/publications/77953914501?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Tena-Zaera R.; Elias J.; Lévy-Clément C.; Mora-Seró I.; Luo Y.; Bisquert J.,"Tena-Zaera, R. (6506161950); Elias, J. (23027343700); Lévy-Clément, C. (7005306327); Mora-Seró, I. (6602706852); Luo, Y. (56139541900); Bisquert, J. (7005095919)",6506161950; 23027343700; 7005306327; 6602706852; 56139541900; 7005095919,2008,75,10.1002/pssa.200779426,https://www.scopus.com/pages/publications/54249100986?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Ghanbari A.; Warchomicka F.; Sommitsch C.; Zamanian A.,"Ghanbari, Arezoo (55773732600); Warchomicka, Fernando (14036663900); Sommitsch, Christof (55899618300); Zamanian, Ali (57216775419)",55773732600; 14036663900; 55899618300; 57216775419,2019,38,10.3390/coatings9090584,https://www.scopus.com/pages/publications/85085740034?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Yin Y.; Liu T.; Chen S.; Liu T.; Cheng S.,"Yin, Yansheng (7403273633); Liu, Tao (56393405900); Chen, Shougang (8711715900); Liu, Tong (59623778400); Cheng, Sha (35323997700)",7403273633; 56393405900; 8711715900; 59623778400; 35323997700,2008,172,10.1016/j.apsusc.2008.08.088,https://www.scopus.com/pages/publications/56949095163?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Villamizar W.; Casales M.; Gonzalez-Rodriguez J.G.; Martinez L.,"Villamizar, W. (14625521100); Casales, M. (6603026715); Gonzalez-Rodriguez, J.G. (57204822503); Martinez, L. (7201889942)",14625521100; 6603026715; 57204822503; 7201889942,2007,61,10.1007/s10008-006-0208-x,https://www.scopus.com/pages/publications/33847321640?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Tayebi M.; Bizari D.; Hassanzade Z.,"Tayebi, Morteza (56395198400); Bizari, Davood (24279230900); Hassanzade, Zabihollah (57216526001)",56395198400; 24279230900; 57216526001,2020,35,10.1016/j.msec.2020.110974,https://www.scopus.com/pages/publications/85083799160?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
