"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link"
"Hu Y.; He Y.; Wang S.; Wang Q.; Schlaberg H.I.","Hu, Yanwei (55817191300); He, Yurong (7404942046); Wang, Shufu (37087934600); Wang, Qizhi (55934174600); Schlaberg, H.Inaki (6603635971)","55817191300; 7404942046; 37087934600; 55934174600; 6603635971","Experimental and Numerical Investigation on Natural Convection Heat Transfer of TiO2-Water Nanofluids in a Square Enclosure","2014","84","10.1115/1.4025499","https://www.scopus.com/pages/publications/84887898790?origin=resultslist"
"Kulish V.V.; Lage J.L.; Komarov P.L.; Raad P.E.","Kulish, V.V. (7003714098); Lage, J.L. (7006458053); Komarov, P.L. (57200196508); Raad, P.E. (7005495241)","7003714098; 7006458053; 57200196508; 7005495241","A fractional-diffusion theory for calculating thermal properties of thin films from surface transient thermoreflectance measurements","2001","43","10.1115/1.1416688","https://www.scopus.com/pages/publications/0035676932?origin=resultslist"
"Zhang J.; Zhou N.; Li W.; Luo Y.; Li S.","Zhang, Jingzhi (55617643700); Zhou, Naixiang (56016140100); Li, Wei (56389294000); Luo, Yang (57195314447); Li, Shizhen (55512886300)","55617643700; 56016140100; 56389294000; 57195314447; 55512886300","An experimental study of R410A condensation heat transfer and pressure drops characteristics in microfin and smooth tubes with 5 mm OD","2018","40","10.1016/j.ijheatmasstransfer.2018.04.128","https://www.scopus.com/pages/publications/85046702757?origin=resultslist"
"Martínez-Pérez M.J.; Giazotto F.","Martínez-Pérez, Maria José (35203705200); Giazotto, Francesco (6601974852)","35203705200; 6601974852","A quantum diffractor for thermal flux","2014","71","10.1038/ncomms4579","https://www.scopus.com/pages/publications/84897563419?origin=resultslist"
"Li Y.; Sun R.; Wu J.; Wang Z.; Wang M.; Song Z.","Li, Yupeng (57193717994); Sun, Rui (56423037100); Wu, Jiangquan (56365014900); Wang, Zhuozhi (57194417833); Wang, Min (57189468271); Song, Zhenyu (57188570178)","57193717994; 56423037100; 56365014900; 57194417833; 57189468271; 57188570178","Effect of H2O on char-nitrogen conversion during char-O2/H2O combustion under high-temperature entrained flow conditions","2019","50","10.1016/j.combustflame.2019.06.013","https://www.scopus.com/pages/publications/85068066727?origin=resultslist"
"Hammad J.; Mitsutake Y.; Monde M.","Hammad, Jaffar (6603007174); Mitsutake, Yuhichi (14421562900); Monde, Masanori (56207492000)","6603007174; 14421562900; 56207492000","Movement of maximum heat flux and wetting front during quenching of hot cylindrical block","2004","106","10.1016/j.ijthermalsci.2004.02.014","https://www.scopus.com/pages/publications/3042718518?origin=resultslist"
"Ho C.J.; Chen W.-C.; Yan W.-M.","Ho, C.J. (7404653188); Chen, Wei-Chen (55891491600); Yan, Wei-Mon (57200197835)","7404653188; 55891491600; 57200197835","Experiment on thermal performance of water-based suspensions of Al 2O3 nanoparticles and MEPCM particles in a minichannel heat sink","2014","67","10.1016/j.ijheatmasstransfer.2013.10.034","https://www.scopus.com/pages/publications/84887665271?origin=resultslist"
"Wang M.; Wang J.; Pan N.; Chen S.","Wang, Moran (56139174200); Wang, Jinku (11640096300); Pan, Ning (7101649003); Chen, Shiyi (7410264032)","56139174200; 11640096300; 7101649003; 7410264032","Mesoscopic predictions of the effective thermal conductivity for microscale random porous media","2007","654","10.1103/PhysRevE.75.036702","https://www.scopus.com/pages/publications/33847790673?origin=resultslist"
"Zhang S.; Yao Y.; Jin Y.; Shang Z.; Yan Y.","Zhang, Shuai (57218560232); Yao, Yuanpeng (55613805300); Jin, Yingai (35200753800); Shang, Zhen (57210132907); Yan, Yuying (57299346300)","57218560232; 55613805300; 35200753800; 57210132907; 57299346300","Heat transfer characteristics of ceramic foam/molten salt composite phase change material (CPCM) for medium-temperature thermal energy storage","2022","66","10.1016/j.ijheatmasstransfer.2022.123262","https://www.scopus.com/pages/publications/85134713902?origin=resultslist"
"Moldoveanu G.M.; Minea A.A.; Huminic G.; Huminic A.","Moldoveanu, Georgiana Madalina (57199407907); Minea, Alina Adriana (23493089800); Huminic, Gabriela (24491895600); Huminic, Angel (24492157400)","57199407907; 23493089800; 24491895600; 24492157400","Al2O3/TiO2 hybrid nanofluids thermal conductivity: An experimental approach","2019","84","10.1007/s10973-018-7974-4","https://www.scopus.com/pages/publications/85066797008?origin=resultslist"
"Izvekov S.; Chung P.W.; Rice B.M.","Izvekov, Sergei (6602751964); Chung, Peter W. (7201442741); Rice, Betsy M. (7201418020)","6602751964; 7201442741; 7201418020","Non-equilibrium molecular dynamics simulation study of heat transport in hexahydro-1,3,5-trinitro-s-triazine (RDX)","2011","41","10.1016/j.ijheatmasstransfer.2011.06.040","https://www.scopus.com/pages/publications/84860399466?origin=resultslist"
"Burger N.; Laachachi A.; Ferriol M.; Lutz M.; Toniazzo V.; Ruch D.","Burger, N. (56596417100); Laachachi, A. (6506711011); Ferriol, M. (56274924300); Lutz, M. (56673606700); Toniazzo, V. (6506592719); Ruch, D. (24077315700)","56596417100; 6506711011; 56274924300; 56673606700; 6506592719; 24077315700","Review of thermal conductivity in composites: Mechanisms, parameters and theory","2016","1282","10.1016/j.progpolymsci.2016.05.001","https://www.scopus.com/pages/publications/84993918913?origin=resultslist"
"Almanassra I.W.; Manasrah A.D.; Al-Mubaiyedh U.A.; Al-Ansari T.; Malaibari Z.O.; Atieh M.A.","Almanassra, Ismail W. (57190193180); Manasrah, Abdallah D. (57190188030); Al-Mubaiyedh, Usamah A. (6602430065); Al-Ansari, Tareq (56223885400); Malaibari, Zuhair Omar (18037578700); Atieh, Muataz A. (6701842430)","57190193180; 57190188030; 6602430065; 56223885400; 18037578700; 6701842430","An experimental study on stability and thermal conductivity of water/CNTs nanofluids using different surfactants: A comparison study","2020","135","10.1016/j.molliq.2019.111025","https://www.scopus.com/pages/publications/85070070660?origin=resultslist"
"Mukherjee S.; Jana S.; Chandra Mishra P.; Chaudhuri P.; Chakrabarty S.","Mukherjee, Sayantan (57189523360); Jana, Sayan (57220729528); Chandra Mishra, Purna (56151375100); Chaudhuri, Paritosh (7103211251); Chakrabarty, Shanta (56386871900)","57189523360; 57220729528; 56151375100; 7103211251; 56386871900","Experimental investigation on thermo-physical properties and subcooled flow boiling performance of Al2O3/water nanofluids in a horizontal tube","2021","62","10.1016/j.ijthermalsci.2020.106581","https://www.scopus.com/pages/publications/85089439111?origin=resultslist"
"Coquil T.; Fang J.; Pilon L.","Coquil, Thomas (33467542300); Fang, Jin (16499252500); Pilon, Laurent (6603868731)","33467542300; 16499252500; 6603868731","Molecular dynamics study of the thermal conductivity of amorphous nanoporous silica","2011","76","10.1016/j.ijheatmasstransfer.2011.06.024","https://www.scopus.com/pages/publications/79960626417?origin=resultslist"
"Iacobazzi F.; Milanese M.; Colangelo G.; de Risi A.","Iacobazzi, Fabrizio (57031809900); Milanese, Marco (55126604500); Colangelo, Gianpiero (12241264800); de Risi, Arturo (22133972600)","57031809900; 55126604500; 12241264800; 22133972600","A critical analysis of clustering phenomenon in Al2O3 nanofluids","2019","45","10.1007/s10973-018-7099-9","https://www.scopus.com/pages/publications/85061809998?origin=resultslist"
"Qian C.; Wang J.; Zhong H.; Qiu X.; Yu B.; Shi J.; Chen J.","Qian, Chenyi (58114807800); Wang, Jiaxuan (57816276100); Zhong, Haozhang (57194692073); Qiu, Xiang (58180277500); Yu, Binbin (57201138005); Shi, Junye (55491822300); Chen, Jiangping (58743740000)","58114807800; 57816276100; 57194692073; 58180277500; 57201138005; 55491822300; 58743740000","Experimental investigation on heat transfer characteristics of copper heat exchangers based on triply periodic minimal surfaces (TPMS)","2024","92","10.1016/j.icheatmasstransfer.2024.107292","https://www.scopus.com/pages/publications/85184135616?origin=resultslist"
"Li C.H.; Williams W.; Buongiorno J.; Hu L.-W.; Peterson G.P.","Li, Calvin H. (13606927800); Williams, Wesley (7402972169); Buongiorno, Jacopo (7006297540); Hu, Lin-Wen (26643035200); Peterson, G.P. (7402562987)","13606927800; 7402972169; 7006297540; 26643035200; 7402562987","Transient and steady-state experimental comparison study of effective thermal conductivity of Al2O3/water nanofluids","2008","69","10.1115/1.2789719","https://www.scopus.com/pages/publications/43349107371?origin=resultslist"
"Rana P.; Bhargava R.; Anwar Bég O.","Rana, Puneet (37102681500); Bhargava, R. (23063065000); Anwar Bég, O. (7004210711)","37102681500; 23063065000; 7004210711","Finite element modeling of conjugate mixed convection flow of Al 2O3-water nanofluid from an inclined slender hollow cylinder","2013","39","10.1088/0031-8949/87/05/055005","https://www.scopus.com/pages/publications/84877658454?origin=resultslist"
"Wang J.; Besnoin E.; Knio O.M.; Weihs T.P.","Wang, J. (59067612600); Besnoin, E. (6508286186); Knio, O.M. (7006276528); Weihs, T.P. (7006098863)","59067612600; 6508286186; 7006276528; 7006098863","Effects of physical properties of components on reactive nanolayer joining","2005","89","10.1063/1.1915540","https://www.scopus.com/pages/publications/20544445664?origin=resultslist"
"Montomoli F.; Massini M.; Yang H.; Han J.C.","Montomoli, F. (6506622574); Massini, M. (6603160396); Yang, H. (9244300900); Han, J.C. (7406441349)","6506622574; 6603160396; 9244300900; 7406441349","The benefit of high-conductivity materials in film cooled turbine nozzles","2012","42","10.1016/j.ijheatfluidflow.2011.12.005","https://www.scopus.com/pages/publications/84862820155?origin=resultslist"
"Kalpakli B.; Acar E.B.; Ulas A.","Kalpakli, Bora (55913452500); Acar, Emir Bedig (57193512187); Ulas, Abdullah (57205383641)","55913452500; 57193512187; 57205383641","Improved combustion model of boron particles for ducted rocket combustion chambers","2017","56","10.1016/j.combustflame.2017.02.015","https://www.scopus.com/pages/publications/85014431092?origin=resultslist"
"Adun H.; Wole-Osho I.; Okonkwo E.C.; Bamisile O.; Dagbasi M.; Abbasoglu S.","Adun, Humphrey (57192642401); Wole-Osho, Ifeoluwa (57192639890); Okonkwo, Eric C. (57192645554); Bamisile, Olusola (57192639999); Dagbasi, Mustafa (56369640500); Abbasoglu, Serkan (16066573900)","57192642401; 57192639890; 57192645554; 57192639999; 56369640500; 16066573900","A neural network-based predictive model for the thermal conductivity of hybrid nanofluids","2020","84","10.1016/j.icheatmasstransfer.2020.104930","https://www.scopus.com/pages/publications/85092385809?origin=resultslist"
"Abdolbaqi M.K.; Sidik N.A.C.; Rahim M.F.A.; Mamat R.; Azmi W.H.; Yazid M.N.A.W.M.; Najafi G.","Abdolbaqi, M.Kh. (56247411300); Sidik, Nor Azwadi Che (57204852231); Rahim, Mohd Fadzil Abdul (58068424500); Mamat, Rizalman (37057681900); Azmi, W.H. (56711151600); Yazid, Mohammad Noor Afiq Witri Muhammad (56755896900); Najafi, G. (22938428000)","56247411300; 57204852231; 58068424500; 37057681900; 56711151600; 56755896900; 22938428000","Experimental investigation and development of new correlation for thermal conductivity and viscosity of BioGlycol/water based SiO2 nanofluids","2016","61","10.1016/j.icheatmasstransfer.2016.07.001","https://www.scopus.com/pages/publications/84978402353?origin=resultslist"
"Cahill D.G.; Goodson K.; Majumdar A.","Cahill, David G. (57205572277); Goodson, Kenneth (7006262423); Majumdar, Arunava (56252604500)","57205572277; 7006262423; 56252604500","Thermometry and thermal transport in micro/nanoscale solid-state devices and structures","2002","587","10.1115/1.1454111","https://www.scopus.com/pages/publications/0036536079?origin=resultslist"
"Ramesh N.; Venkateshan S.P.","Ramesh, N. (34877440100); Venkateshan, S.P. (7003886412)","34877440100; 7003886412","Effect of surface radiation on natural convection in a square enclosure","1999","116","10.2514/2.6458","https://www.scopus.com/pages/publications/0033240991?origin=resultslist"
"Lin C.X.; Ebadian M.A.","Lin, C.X. (8608727000); Ebadian, M.A. (7006610398)","8608727000; 7006610398","Developing turbulent convective heat transfer in helical pipes","1997","107","10.1016/S0017-9310(97)00042-2","https://www.scopus.com/pages/publications/0031251265?origin=resultslist"
"Hashim; Khan M.; Hamid A.","Hashim (55210035100); Khan, Masood (55579497400); Hamid, Aamir (57197992367)","55210035100; 55579497400; 57197992367","Numerical investigation on time-dependent flow of Williamson nanofluid along with heat and mass transfer characteristics past a wedge geometry","2018","68","10.1016/j.ijheatmasstransfer.2017.10.126","https://www.scopus.com/pages/publications/85033383704?origin=resultslist"
"Su X.; Zhang M.; Han W.; Guo X.","Su, Xinjun (7402181831); Zhang, Ming (57121196700); Han, Wei (57189218111); Guo, Xianmin (55488136600)","7402181831; 57121196700; 57189218111; 55488136600","Experimental study on the heat transfer performance of an oscillating heat pipe with self-rewetting nanofluid","2016","51","10.1016/j.ijheatmasstransfer.2016.04.094","https://www.scopus.com/pages/publications/84966286511?origin=resultslist"
"Shin J.S.; Kim M.H.","Shin, Jeong Seob (7402723948); Kim, Moo Hwan (55920166100)","7402723948; 55920166100","An experimental study of flow condensation heat transfer inside circular and rectangular mini-channels","2005","83","10.1080/01457630590907185","https://www.scopus.com/pages/publications/14644419002?origin=resultslist"
"Canaan R.E.; Klein D.E.","Canaan, Robert E. (6603666322); Klein, Dale E. (7402360630)","6603666322; 7402360630","An experimental investigation of natural convection heat transfer within horizontal spent-fuel assemblies","1996","42","10.13182/nt96-a35286","https://www.scopus.com/pages/publications/0030404039?origin=resultslist"
"Hussein A.M.; Sharma K.V.; Bakar R.A.; Kadirgama K.","Hussein, Adnan M. (57189288955); Sharma, K.V. (8417385700); Bakar, R.A. (57191230083); Kadirgama, K. (12761486500)","57189288955; 8417385700; 57191230083; 12761486500","The effect of cross sectional area of tube on friction factor and heat transfer nanofluid turbulent flow","2013","69","10.1016/j.icheatmasstransfer.2013.06.007","https://www.scopus.com/pages/publications/84883223395?origin=resultslist"
"Duan Z.; Zhang Z.; Wang J.; Cao X.; Zhang J.","Duan, Zhenya (7101936543); Zhang, Zhuang (59056483300); Wang, Jingtao (55929423300); Cao, Xing (54948310800); Zhang, Junmei (56916199600)","7101936543; 59056483300; 55929423300; 54948310800; 56916199600","Thermal performance of structured packed bed with encapsulated phase change materials","2020","57","10.1016/j.ijheatmasstransfer.2020.120066","https://www.scopus.com/pages/publications/85086599509?origin=resultslist"
"Truong H.V.; Zinsmeister G.E.","Truong, H.V. (7006826730); Zinsmeister, G.E. (6603046617)","7006826730; 6603046617","Experimental study of heat transfer in layered composites","1978","46","10.1016/0017-9310(78)90182-5","https://www.scopus.com/pages/publications/0017995361?origin=resultslist"
"Rehman M.; Qu Z.G.; Fu R.P.; Xu H.T.","Rehman, M. Mohib (57193309749); Qu, Z.G. (7202671251); Fu, R.P. (56537671400); Xu, H.T. (55920837800)","57193309749; 7202671251; 56537671400; 55920837800","Numerical study on free-surface jet impingement cooling with nanoencapsulated phase-change material slurry and nanofluid","2017","65","10.1016/j.ijheatmasstransfer.2017.01.094","https://www.scopus.com/pages/publications/85012923823?origin=resultslist"
"Michaels D.; Ghoniem A.F.","Michaels, Dan (55370355300); Ghoniem, Ahmed F. (7006107558)","55370355300; 7006107558","Impact of the bluff-body material on the flame leading edge structure and flame–flow interaction of premixed CH4/air flames","2016","54","10.1016/j.combustflame.2016.07.007","https://www.scopus.com/pages/publications/84978919897?origin=resultslist"
"Tahat M.S.; Benim A.C.","Tahat, Montasser S. (8226886800); Benim, Ali Cemal (56501894900)","8226886800; 56501894900","Experimental analysis on thermophysical properties of Al2O3/CuO hybrid nano fluid with its effects on flat plate solar collector","2017","73","10.4028/www.scientific.net/DDF.374.148","https://www.scopus.com/pages/publications/85018649481?origin=resultslist"
"Biju N.; Ganesan N.; Krishnamurthy C.V.; Balasubramaniam K.","Biju, N. (6504336280); Ganesan, N. (7102257081); Krishnamurthy, C.V. (6601928690); Balasubramaniam, Krishnan (7005602178)","6504336280; 7102257081; 6601928690; 7005602178","Frequency optimization for eddy current thermography","2009","52","10.1016/j.ndteint.2009.01.011","https://www.scopus.com/pages/publications/67349145397?origin=resultslist"
"Hwang G.J.; Kuo C.R.","Hwang, G.J. (7202676094); Kuo, C.R. (7404481160)","7202676094; 7404481160","Experimental studies and correlations of convective heat transfer in a radially rotating serpentine passage","1997","39","10.1115/1.2824119","https://www.scopus.com/pages/publications/3743129770?origin=resultslist"
"Gupta S.K.; Misra R.D.","Gupta, Sanjay Kumar (57212323091); Misra, Rahul Dev (36163111900)","57212323091; 36163111900","Experimental study of pool boiling heat transfer on copper surfaces with Cu-Al2O3 nanocomposite coatings","2018","90","10.1016/j.icheatmasstransfer.2018.07.004","https://www.scopus.com/pages/publications/85049646346?origin=resultslist"
"Lallave J.C.; Rahman M.M.; Kumar A.","Lallave, Jorge C. (15033911300); Rahman, Muhammad M. (55611634700); Kumar, Ashok (57219456054)","15033911300; 55611634700; 57219456054","Numerical analysis of heat transfer on a rotating disk surface under confined liquid jet impingement","2007","51","10.1016/j.ijheatfluidflow.2006.09.005","https://www.scopus.com/pages/publications/34447315852?origin=resultslist"
"Michaels D.; Shanbhogue S.J.; Ghoniem A.F.","Michaels, D. (55370355300); Shanbhogue, S.J. (15058492600); Ghoniem, A.F. (7006107558)","55370355300; 15058492600; 7006107558","The impact of reactants composition and temperature on the flow structure in a wake stabilized laminar lean premixed CH4/H2/air flames; mechanism and scaling","2017","42","10.1016/j.combustflame.2016.10.007","https://www.scopus.com/pages/publications/84995674851?origin=resultslist"
"Williams W.; Buogiorno J.; Hu L.-W.","Williams, Wesley (7402972169); Buogiorno, Jacopo (24175805400); Hu, Lin-Wen (26643035200)","7402972169; 24175805400; 26643035200","Experimental investigation of turbulent convective heat transfer and pressure loss of alumina/water and zirconia/water nanoparticle colloids (nanofluids) in horizontal tubes","2008","474","10.1115/1.2818775","https://www.scopus.com/pages/publications/42549095595?origin=resultslist"
"Siahpush A.; O'Brien J.; Crepeau J.","Siahpush, Ali (6507011678); O'Brien, James (57208516695); Crepeau, John (7003344745)","6507011678; 57208516695; 7003344745","Phase change heat transfer enhancement using copper porous foam","2008","201","10.1115/1.2928010","https://www.scopus.com/pages/publications/56449087295?origin=resultslist"
"Garg P.; Alvarado J.L.; Marsh C.; Carlson T.A.; Kessler D.A.; Annamalai K.","Garg, Paritosh (24329313200); Alvarado, Jorge L. (12801957600); Marsh, Charles (12802168200); Carlson, Thomas A. (33167460000); Kessler, David A. (22962094600); Annamalai, Kalyan (7005573279)","24329313200; 12801957600; 12802168200; 33167460000; 22962094600; 7005573279","An experimental study on the effect of ultrasonication on viscosity and heat transfer performance of multi-wall carbon nanotube-based aqueous nanofluids","2009","499","10.1016/j.ijheatmasstransfer.2009.04.029","https://www.scopus.com/pages/publications/68949190568?origin=resultslist"
"Hasan A.; Hejase H.; Abdelbaqi S.; Assi A.; Hamdan M.O.","Hasan, Ahmad (59156898500); Hejase, Hassan (6603599138); Abdelbaqi, Shaimaa (57191503979); Assi, Ali (55600221100); Hamdan, Mohammed O. (55778145035)","59156898500; 6603599138; 57191503979; 55600221100; 55778145035","Comparative effectiveness of different phase change materials to improve cooling performance of heat sinks for electronic devices","2016","52","10.3390/app6090226","https://www.scopus.com/pages/publications/84991087051?origin=resultslist"
"Ezan M.A.; Ozdogan M.; Erek A.","Ezan, Mehmet Akif (57189855101); Ozdogan, Muhammet (57196506372); Erek, Aytunç (55904179900)","57189855101; 57196506372; 55904179900","Experimental study on charging and discharging periods of water in a latent heat storage unit","2011","73","10.1016/j.ijthermalsci.2011.06.010","https://www.scopus.com/pages/publications/80051914223?origin=resultslist"
"Rashmi W.; Ismail A.F.; Khalid M.; Faridah Y.","Rashmi, W. (26027674500); Ismail, A.F. (25823719200); Khalid, M. (36945624700); Faridah, Y. (6507305442)","26027674500; 25823719200; 36945624700; 6507305442","CFD studies on natural convection heat transfer of Al2O 3-water nanofluids","2011","59","10.1007/s00231-011-0792-x","https://www.scopus.com/pages/publications/80054056027?origin=resultslist"
"Samimi Abianeh O.; Chen C.P.; Mahalingam S.","Samimi Abianeh, O. (55416460900); Chen, C.P. (9842453000); Mahalingam, S. (55917605500)","55416460900; 9842453000; 55917605500","Numerical modeling of multi-component fuel spray evaporation process","2014","40","10.1016/j.ijheatmasstransfer.2013.10.007","https://www.scopus.com/pages/publications/84887050523?origin=resultslist"
